MAC,SSID,AuthMode,FirstSeen,Channel,Frequency,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,RCOIs,MfgrId,Type
6c:ae:f6:5c:94:69,,[ESS],25/10/2024 00:25,6,2437,-80,32.005958,-102.094451,824.6823824,6,,,WIFI
d6:e2:2f:03:7d:04,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:25,36,5180,-89,32.000155,-102.092537,824.6823824,6,,,WIFI
18:90:88:23:18:55,,[ESS],25/10/2024 00:26,6,2437,-74,32.000359,-102.092598,824.6823824,6,,,WIFI
18:90:88:23:18:51,,[RSN-SAE-CCMP],25/10/2024 00:26,6,2437,-75,32.0006265,-102.0926839,824.6823824,6,,,WIFI
18:90:88:23:18:53,JberryWiFi,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 00:26,6,2437,-73,32.001022,-102.092811,824.6823824,6,,,WIFI
18:90:88:23:18:54,JberryWiFi,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 00:26,36,5180,-86,32.001168,-102.092857,824.6823824,6,,,WIFI
36:5e:08:48:77:9e,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:27,36,5180,-89,32.001168,-102.092857,824.6823824,6,,,WIFI
a8:40:0b:67:8c:f8,HotspotiXKm,[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS],25/10/2024 00:27,6,2437,-73,32.001231,-102.09288,824.6823824,6,,,WIFI
00:25:f0:06:a7:a6,tl06a7a6,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:27,11,2462,-91,32.0013,-102.092911,824.5912217,4,,,WIFI
e0:1f:2b:d9:e7:3d,WallerHouse,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS],25/10/2024 00:27,40,5200,-88,32.00137,-102.092933,824.5912217,4,,,WIFI
e0:1f:2b:d9:e7:3e,WallerHouse,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS],25/10/2024 00:28,161,5805,-88,32.001434,-102.092964,824.5912217,4,,,WIFI
f2:1f:2b:d9:e7:3e,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 00:28,161,5805,-88,32.001568,-102.093024,824.5912217,4,,,WIFI
d0:fc:d0:76:b2:14,SolKiki,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:28,9,2452,-86,32.001632,-102.093055,824.551786,4,,,WIFI
e0:2d:f0:8a:2c:61,TOYOTA Grand Highlander-2.4g_8a2,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:29,11,2462,-81,32.0016475,-102.0930642,824.551786,4,,,WIFI
3e:94:ed:5d:67:a7,Woodford's Crib,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS][WPS],25/10/2024 00:29,3,2422,-84,32.001696,-102.093093,824.551786,4,,,WIFI
66:e2:20:99:de:a0,MBUX 21377,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS],25/10/2024 00:29,36,5180,-89,32.001762,-102.093124,824.551786,4,,,WIFI
3e:94:ed:5d:67:37,Woodford's Crib,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS][WPS],25/10/2024 00:29,3,2422,-84,32.001826,-102.093162,824.551786,4,,,WIFI
38:94:ed:5d:67:a7,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 00:29,3,2422,-86,32.001888,-102.0932,824.551786,4,,,WIFI
a0:2d:13:87:54:4c,ATTuWtUtgT,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:30,11,2462,-92,32.001952,-102.093238,824.551786,4,,,WIFI
b2:00:73:42:1f:e2,myGMC,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:30,44,5220,-85,32.002075,-102.093323,824.551786,4,,,WIFI
de:36:0c:fd:f0:88,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 00:30,11,2462,-89,32.001168,-102.092857,824.551786,4,,,WIFI
2a:38:5c:18:2f:d5,PROJ182fd5,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 00:31,149,5745,-77,32.001022,-102.092811,824.551786,4,,,WIFI
b2:00:73:52:1f:e2,myGMC,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:32,11,2462,-65,32.0006265,-102.0926839,824.551786,4,,,WIFI
dc:36:0c:fd:f0:88,SOSMidland-2.4G,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS],25/10/2024 00:32,11,2462,-89,32.000359,-102.092598,824.551786,4,,,WIFI
a8:40:0b:67:8c:f8,HotspotiXKm,[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS],25/10/2024 00:32,6,2437,-60,32.000155,-102.092537,824.551786,4,,,WIFI
b4:63:6f:85:dc:48,AlanmistyATT,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:32,48,5240,-89,32.001168,-102.092857,824.2725634,4,,,WIFI
b4:63:6f:85:dc:44,AlanmistyATT,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:33,6,2437,-75,32.001128,-102.093002,824.2725634,4,,,WIFI
00:54:af:39:9c:d4,Hotspot9CD4,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],25/10/2024 00:33,11,2462,-79,32.001086,-102.093124,824.2725634,4,,,WIFI
ec:c3:02:17:ee:a4,ATTnQAMH3q,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],25/10/2024 00:33,6,2437,-79,32.000969,-102.093422,824.2725634,4,,,WIFI
04:17:b6:d6:6f:7b,,[WPA-PSK-CCMP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],25/10/2024 00:33,11,2462,-89,32.000958,-102.093452,824.2725634,4,,,WIFI
